PlayerID,Age,Gender,Location,PlayTimeHours,SessionsPerWeek,AvgSessionDurationMinutes,EngagementLevel,GameGenre,GameDifficulty,PlayerLevel,AchievementsUnlocked,InGamePurchases,Age_range,PlayTimeHours_range,SessionsPerWeek_range,AvgSessionDurationMinutes_range,PlayerLevel_range,AchievementsUnlocked_range
9034,40,Male,USA,12,0,120,Low,Strategy,Hard,24,18,0,40-49	,12-17	,0-4	,94-136	,1-25	,12-23	
9035,16,Female,USA,18,18,166,High,RPG,Medium,24,17,0,15-23	,18-24	,14-19	,137-179	,1-25	,12-23	
9036,34,Male,Europe,14,19,28,Medium,Action,Hard,79,41,0,32-39	,12-17	,14-19	,10-51	,74-99	,37-49	
9037,42,Male,USA,24,17,61,Medium,Strategy,Medium,26,26,0,40-49	,18-24	,14-19	,52-93	,26-49	,24-36	
9038,21,Female,Europe,2,11,112,Medium,Action,Medium,14,0,0,15-23	,1-6	,10-13	,94-136	,1-25	,0-11	
9039,22,Female,Europe,6,3,116,Medium,Sports,Hard,52,44,0,15-23	,1-6	,0-4	,94-136	,50-73	,37-49	
9040,49,Female,Europe,14,15,43,Medium,Strategy,Medium,93,29,1,40-49	,12-17	,14-19	,10-51	,74-99	,24-36	
9041,28,Male,Other,13,4,151,Medium,RPG,Medium,76,35,0,24-31	,12-17	,0-4	,137-179	,74-99	,24-36	
9042,31,Male,USA,3,15,68,Medium,Action,Medium,88,39,0,24-31	,1-6	,14-19	,52-93	,74-99	,37-49	
9043,18,Male,Other,14,12,115,Medium,RPG,Medium,98,7,0,15-23	,12-17	,10-13	,94-136	,74-99	,0-11	
9044,16,Female,Europe,3,14,149,High,Action,Easy,10,34,0,15-23	,1-6	,14-19	,137-179	,1-25	,24-36	
9045,20,Male,Asia,17,19,65,Medium,RPG,Medium,34,46,0,15-23	,12-17	,14-19	,52-93	,26-49	,37-49	
9046,18,Male,USA,16,17,176,High,RPG,Easy,45,43,0,15-23	,12-17	,14-19	,137-179	,26-49	,37-49	
9047,43,Male,USA,2,3,31,Low,Strategy,Medium,73,49,0,40-49	,1-6	,0-4	,10-51	,50-73	,37-49	
9048,32,Female,USA,12,19,77,High,Sports,Easy,51,38,0,32-39	,12-17	,14-19	,52-93	,50-73	,37-49	
9049,40,Male,Europe,18,8,94,Medium,Sports,Hard,31,13,0,40-49	,18-24	,5-9	,94-136	,26-49	,12-23	
9050,48,Male,Other,20,3,146,Medium,RPG,Hard,22,32,0,40-49	,18-24	,0-4	,137-179	,1-25	,24-36	
9051,24,Male,USA,1,8,45,High,Sports,Medium,19,21,0,24-31	,1-6	,5-9	,10-51	,1-25	,12-23	
9052,28,Male,Europe,12,8,134,Medium,Simulation,Easy,64,25,0,24-31	,12-17	,5-9	,94-136	,50-73	,24-36	
9053,45,Male,Europe,24,1,50,Low,Simulation,Easy,95,26,1,40-49	,18-24	,0-4	,10-51	,74-99	,24-36	
9054,29,Male,Europe,10,15,171,High,RPG,Easy,6,16,1,24-31	,7-11	,14-19	,137-179	,1-25	,12-23	
9055,22,Female,USA,13,8,46,Medium,RPG,Easy,8,0,1,15-23	,12-17	,5-9	,10-51	,1-25	,0-11	
9056,28,Male,USA,8,8,139,Medium,Simulation,Easy,20,1,0,24-31	,7-11	,5-9	,137-179	,1-25	,0-11	
9057,37,Male,USA,2,15,36,Medium,Simulation,Easy,88,36,1,32-39	,1-6	,14-19	,10-51	,74-99	,24-36	
9058,35,Male,USA,22,15,148,High,Simulation,Easy,73,43,0,32-39	,18-24	,14-19	,137-179	,50-73	,37-49	
9059,30,Female,USA,16,9,153,Medium,Strategy,Easy,46,19,0,24-31	,12-17	,5-9	,137-179	,26-49	,12-23	
9060,32,Male,USA,13,11,138,High,Action,Hard,27,13,0,32-39	,12-17	,10-13	,137-179	,26-49	,12-23	
9061,38,Female,USA,20,19,155,High,Strategy,Medium,35,30,0,32-39	,18-24	,14-19	,137-179	,26-49	,24-36	
9062,40,Female,Europe,4,2,94,Medium,Simulation,Easy,76,42,0,40-49	,1-6	,0-4	,94-136	,74-99	,37-49	
9063,39,Male,Other,21,16,140,High,Action,Hard,10,16,0,32-39	,18-24	,14-19	,137-179	,1-25	,12-23	
9064,43,Male,Other,15,1,16,Low,Sports,Easy,38,43,0,40-49	,12-17	,0-4	,10-51	,26-49	,37-49	
9065,29,Female,USA,18,16,135,High,Simulation,Easy,80,43,1,24-31	,18-24	,14-19	,94-136	,74-99	,37-49	
9066,15,Female,USA,15,6,49,Medium,Simulation,Easy,58,42,0,15-23	,12-17	,5-9	,10-51	,50-73	,37-49	
9067,39,Female,Other,20,7,46,Medium,Sports,Medium,26,47,0,32-39	,18-24	,5-9	,10-51	,26-49	,37-49	
9068,21,Female,Europe,20,13,30,Medium,Action,Easy,3,40,0,15-23	,18-24	,10-13	,10-51	,1-25	,37-49	
9069,23,Male,Other,14,17,167,High,Simulation,Medium,72,24,1,15-23	,12-17	,14-19	,137-179	,50-73	,24-36	
9070,38,Female,Europe,21,13,79,Medium,Action,Easy,29,32,0,32-39	,18-24	,10-13	,52-93	,26-49	,24-36	
9071,15,Male,Asia,19,7,111,Medium,Strategy,Medium,45,2,0,15-23	,18-24	,5-9	,94-136	,26-49	,0-11	
9072,22,Male,Europe,13,7,79,Medium,RPG,Easy,46,32,1,15-23	,12-17	,5-9	,52-93	,26-49	,24-36	
9073,38,Female,Europe,3,12,131,High,Strategy,Medium,12,37,0,32-39	,1-6	,10-13	,94-136	,1-25	,37-49	
9074,25,Male,Europe,21,19,109,High,RPG,Easy,91,48,1,24-31	,18-24	,14-19	,94-136	,74-99	,37-49	
9075,31,Male,USA,10,14,106,High,Simulation,Easy,23,1,0,24-31	,7-11	,14-19	,94-136	,1-25	,0-11	
9076,22,Male,Asia,20,3,29,Low,Strategy,Medium,9,30,1,15-23	,18-24	,0-4	,10-51	,1-25	,24-36	
9077,49,Male,USA,19,0,83,Low,Strategy,Easy,15,4,1,40-49	,18-24	,0-4	,52-93	,1-25	,0-11	
9078,49,Female,USA,3,12,70,Medium,Sports,Easy,33,33,1,40-49	,1-6	,10-13	,52-93	,26-49	,24-36	
9079,47,Male,Asia,7,10,14,Low,RPG,Easy,15,25,0,40-49	,7-11	,10-13	,10-51	,1-25	,24-36	
9080,19,Female,Europe,20,1,139,Low,RPG,Easy,24,0,1,15-23	,18-24	,0-4	,137-179	,1-25	,0-11	
9081,42,Male,USA,14,12,34,Medium,Simulation,Medium,14,15,0,40-49	,12-17	,10-13	,10-51	,1-25	,12-23	
9082,21,Male,USA,8,5,77,Medium,Sports,Easy,40,38,0,15-23	,7-11	,5-9	,52-93	,26-49	,37-49	
9083,23,Male,USA,4,12,41,Medium,Sports,Easy,73,10,1,15-23	,1-6	,10-13	,10-51	,50-73	,0-11	
9084,22,Male,USA,11,19,102,High,RPG,Easy,14,24,0,15-23	,7-11	,14-19	,94-136	,1-25	,24-36	
9085,26,Male,USA,16,4,117,Medium,Sports,Medium,4,49,0,24-31	,12-17	,0-4	,94-136	,1-25	,37-49	
9086,48,Female,Asia,9,3,122,Medium,Action,Easy,89,24,1,40-49	,7-11	,0-4	,94-136	,74-99	,24-36	
9087,47,Male,Europe,15,18,14,Low,Simulation,Hard,78,4,0,40-49	,12-17	,14-19	,10-51	,74-99	,0-11	
9088,37,Male,USA,20,11,147,High,Strategy,Medium,40,49,0,32-39	,18-24	,10-13	,137-179	,26-49	,37-49	
9089,38,Male,Europe,7,8,107,Medium,RPG,Medium,11,7,1,32-39	,7-11	,5-9	,94-136	,1-25	,0-11	
9090,49,Male,USA,3,14,36,Medium,Sports,Medium,59,35,0,40-49	,1-6	,14-19	,10-51	,50-73	,24-36	
9091,36,Male,USA,5,1,73,Low,Sports,Easy,76,15,0,32-39	,1-6	,0-4	,52-93	,74-99	,12-23	
9092,41,Female,Europe,6,7,12,Low,Sports,Easy,77,28,1,40-49	,1-6	,5-9	,10-51	,74-99	,24-36	
9093,49,Male,Asia,4,0,99,Low,Simulation,Easy,80,42,0,40-49	,1-6	,0-4	,94-136	,74-99	,37-49	
9094,15,Male,Asia,10,4,32,Low,Strategy,Hard,33,42,1,15-23	,7-11	,0-4	,10-51	,26-49	,37-49	
9095,49,Male,Europe,8,19,126,High,Sports,Easy,3,14,0,40-49	,7-11	,14-19	,94-136	,1-25	,12-23	
9096,28,Male,USA,10,1,84,Low,Strategy,Medium,61,39,1,24-31	,7-11	,0-4	,52-93	,50-73	,37-49	
9097,17,Male,Europe,9,3,117,Medium,Strategy,Easy,1,11,0,15-23	,7-11	,0-4	,94-136	,1-25	,0-11	
9098,15,Female,Europe,6,11,55,Medium,Simulation,Easy,54,37,0,15-23	,1-6	,10-13	,52-93	,50-73	,37-49	
9099,19,Female,USA,16,14,93,High,Sports,Hard,65,42,0,15-23	,12-17	,14-19	,52-93	,50-73	,37-49	
9100,40,Male,Europe,6,5,40,Medium,Sports,Medium,89,29,0,40-49	,1-6	,5-9	,10-51	,74-99	,24-36	
9101,28,Female,Europe,23,11,109,Medium,Strategy,Hard,53,18,0,24-31	,18-24	,10-13	,94-136	,50-73	,12-23	
9102,41,Male,Europe,8,2,33,Low,Sports,Easy,54,33,0,40-49	,7-11	,0-4	,10-51	,50-73	,24-36	
9103,23,Female,Europe,23,8,91,Medium,Simulation,Medium,38,14,0,15-23	,18-24	,5-9	,52-93	,26-49	,12-23	
9104,29,Female,Other,5,16,36,Medium,Sports,Easy,22,36,0,24-31	,1-6	,14-19	,10-51	,1-25	,24-36	
9105,29,Male,Europe,3,15,101,High,Sports,Easy,73,45,1,24-31	,1-6	,14-19	,94-136	,50-73	,37-49	
9106,40,Male,Asia,8,15,24,Medium,Sports,Easy,56,17,0,40-49	,7-11	,14-19	,10-51	,50-73	,12-23	
9107,27,Male,Other,8,17,72,Medium,Simulation,Hard,45,48,0,24-31	,7-11	,14-19	,52-93	,26-49	,37-49	
9108,46,Male,Asia,20,9,127,Medium,Strategy,Medium,75,32,1,40-49	,18-24	,5-9	,94-136	,74-99	,24-36	
9109,46,Male,Other,19,12,96,Medium,Strategy,Easy,2,21,0,40-49	,18-24	,10-13	,94-136	,1-25	,12-23	
9110,18,Female,Asia,5,16,121,High,Sports,Easy,10,35,0,15-23	,1-6	,14-19	,94-136	,1-25	,24-36	
9111,44,Male,USA,23,7,60,Medium,Simulation,Hard,5,30,0,40-49	,18-24	,5-9	,52-93	,1-25	,24-36	
9112,37,Male,USA,9,18,145,High,Sports,Medium,88,15,0,32-39	,7-11	,14-19	,137-179	,74-99	,12-23	
9113,29,Female,USA,24,3,51,Low,Simulation,Medium,72,44,0,24-31	,18-24	,0-4	,10-51	,50-73	,37-49	
9114,43,Female,USA,24,14,96,High,Simulation,Easy,42,47,0,40-49	,18-24	,14-19	,94-136	,26-49	,37-49	
9115,27,Male,USA,7,18,111,High,Strategy,Hard,34,9,0,24-31	,7-11	,14-19	,94-136	,26-49	,0-11	
9116,46,Female,Asia,11,12,142,High,Action,Medium,24,18,0,40-49	,7-11	,10-13	,137-179	,1-25	,12-23	
9117,21,Female,USA,21,17,142,High,Action,Easy,12,20,1,15-23	,18-24	,14-19	,137-179	,1-25	,12-23	
9118,36,Male,Asia,8,3,69,Low,RPG,Easy,52,14,0,32-39	,7-11	,0-4	,52-93	,50-73	,12-23	
9119,42,Male,Other,11,7,154,Medium,RPG,Medium,23,19,0,40-49	,7-11	,5-9	,137-179	,1-25	,12-23	
9120,16,Female,USA,5,17,149,High,Action,Easy,48,14,1,15-23	,1-6	,14-19	,137-179	,26-49	,12-23	
9121,20,Female,USA,12,11,75,Medium,Strategy,Medium,69,25,0,15-23	,12-17	,10-13	,52-93	,50-73	,24-36	
9122,42,Male,Asia,7,15,17,Low,RPG,Hard,19,43,0,40-49	,7-11	,14-19	,10-51	,1-25	,37-49	
9123,42,Male,USA,3,17,62,Medium,Action,Medium,77,35,0,40-49	,1-6	,14-19	,52-93	,74-99	,24-36	
9124,34,Female,USA,17,13,124,High,Strategy,Medium,35,43,0,32-39	,12-17	,10-13	,94-136	,26-49	,37-49	
9125,44,Female,USA,9,11,34,Medium,RPG,Medium,8,11,0,40-49	,7-11	,10-13	,10-51	,1-25	,0-11	
9126,25,Female,USA,13,7,108,Medium,RPG,Medium,76,1,0,24-31	,12-17	,5-9	,94-136	,74-99	,0-11	
9127,42,Female,Asia,14,19,157,High,Action,Easy,85,7,0,40-49	,12-17	,14-19	,137-179	,74-99	,0-11	
9128,39,Female,Europe,15,15,108,High,RPG,Easy,49,32,0,32-39	,12-17	,14-19	,94-136	,26-49	,24-36	
9129,47,Female,USA,19,2,65,Medium,Strategy,Easy,92,45,0,40-49	,18-24	,0-4	,52-93	,74-99	,37-49	
9130,15,Female,Europe,18,5,94,Medium,Action,Hard,76,14,1,15-23	,18-24	,5-9	,94-136	,74-99	,12-23	
9131,41,Female,USA,19,1,70,Low,Strategy,Medium,5,43,0,40-49	,18-24	,0-4	,52-93	,1-25	,37-49	
9132,27,Male,USA,20,16,154,High,RPG,Medium,13,27,0,24-31	,18-24	,14-19	,137-179	,1-25	,24-36	
9133,17,Female,Europe,10,7,78,Medium,Strategy,Medium,54,36,0,15-23	,7-11	,5-9	,52-93	,50-73	,24-36	
9134,20,Male,Europe,20,18,14,Low,Sports,Easy,49,5,0,15-23	,18-24	,14-19	,10-51	,26-49	,0-11	
9135,22,Male,USA,9,13,21,Low,Simulation,Hard,58,19,1,15-23	,7-11	,10-13	,10-51	,50-73	,12-23	
9136,41,Male,Asia,10,1,124,Low,RPG,Easy,15,24,0,40-49	,7-11	,0-4	,94-136	,1-25	,24-36	
9137,23,Male,Asia,22,7,45,Medium,Sports,Easy,45,42,0,15-23	,18-24	,5-9	,10-51	,26-49	,37-49	
9138,47,Male,Other,17,6,62,Medium,Simulation,Medium,96,40,0,40-49	,12-17	,5-9	,52-93	,74-99	,37-49	
9139,38,Female,Europe,6,7,43,Medium,Action,Medium,72,16,1,32-39	,1-6	,5-9	,10-51	,50-73	,12-23	
9140,29,Female,USA,16,1,69,Low,Simulation,Easy,81,14,0,24-31	,12-17	,0-4	,52-93	,74-99	,12-23	
9141,46,Female,Asia,4,19,42,Medium,Action,Easy,64,31,0,40-49	,1-6	,14-19	,10-51	,50-73	,24-36	
9142,46,Female,USA,7,8,103,Medium,Sports,Hard,54,36,1,40-49	,7-11	,5-9	,94-136	,50-73	,24-36	
9143,38,Male,USA,2,3,124,Medium,Simulation,Hard,82,4,1,32-39	,1-6	,0-4	,94-136	,74-99	,0-11	
9144,26,Male,Asia,17,16,52,Medium,RPG,Hard,87,2,1,24-31	,12-17	,14-19	,52-93	,74-99	,0-11	
9145,16,Male,Other,23,12,132,High,Sports,Easy,4,4,1,15-23	,18-24	,10-13	,94-136	,1-25	,0-11	
9146,17,Male,USA,23,17,105,High,Simulation,Easy,60,37,0,15-23	,18-24	,14-19	,94-136	,50-73	,37-49	
9147,31,Female,USA,20,11,27,Low,Strategy,Easy,23,13,0,24-31	,18-24	,10-13	,10-51	,1-25	,12-23	
9148,16,Male,Europe,4,3,159,Low,Strategy,Hard,8,44,0,15-23	,1-6	,0-4	,137-179	,1-25	,37-49	
9149,16,Male,Other,21,9,19,Medium,Action,Easy,95,31,0,15-23	,18-24	,5-9	,10-51	,74-99	,24-36	
9150,42,Male,Europe,1,18,117,High,Sports,Hard,40,0,0,40-49	,1-6	,14-19	,94-136	,26-49	,0-11	
9151,37,Male,Asia,22,9,138,Medium,Strategy,Easy,13,19,0,32-39	,18-24	,5-9	,137-179	,1-25	,12-23	
9152,46,Male,Other,17,0,140,Low,Simulation,Hard,95,46,0,40-49	,12-17	,0-4	,137-179	,74-99	,37-49	
9153,47,Female,Europe,5,19,70,High,RPG,Hard,49,44,1,40-49	,1-6	,14-19	,52-93	,26-49	,37-49	
9154,15,Male,Asia,14,8,39,Medium,Action,Easy,45,45,0,15-23	,12-17	,5-9	,10-51	,26-49	,37-49	
9155,33,Male,Europe,16,11,92,Medium,Simulation,Easy,39,43,0,32-39	,12-17	,10-13	,52-93	,26-49	,37-49	
9156,16,Male,Europe,7,9,50,Medium,Action,Easy,82,18,0,15-23	,7-11	,5-9	,10-51	,74-99	,12-23	
9157,40,Female,Europe,21,3,138,Medium,Strategy,Medium,36,30,0,40-49	,18-24	,0-4	,137-179	,26-49	,24-36	
9158,46,Male,Europe,13,11,179,High,Sports,Medium,91,4,1,40-49	,12-17	,10-13	,137-179	,74-99	,0-11	
9159,20,Male,Europe,14,12,135,High,RPG,Hard,66,49,1,15-23	,12-17	,10-13	,94-136	,50-73	,37-49	
9160,46,Male,Europe,22,18,164,High,Strategy,Easy,26,41,0,40-49	,18-24	,14-19	,137-179	,26-49	,37-49	
9161,18,Female,Europe,16,11,90,Medium,Sports,Easy,2,5,0,15-23	,12-17	,10-13	,52-93	,1-25	,0-11	
9162,25,Female,USA,15,8,110,Medium,RPG,Easy,33,28,0,24-31	,12-17	,5-9	,94-136	,26-49	,24-36	
9163,31,Male,Europe,4,12,103,High,Sports,Hard,80,13,0,24-31	,1-6	,10-13	,94-136	,74-99	,12-23	
9164,38,Female,USA,14,0,146,Low,Strategy,Medium,4,13,0,32-39	,12-17	,0-4	,137-179	,1-25	,12-23	
9165,19,Male,USA,22,10,30,Low,RPG,Medium,55,9,1,15-23	,18-24	,10-13	,10-51	,50-73	,0-11	
9166,48,Male,Asia,15,15,133,High,Simulation,Medium,32,25,0,40-49	,12-17	,14-19	,94-136	,26-49	,24-36	
9167,20,Male,USA,7,4,166,Medium,Strategy,Hard,81,31,0,15-23	,7-11	,0-4	,137-179	,74-99	,24-36	
9168,36,Male,Europe,20,11,142,High,Action,Easy,61,48,0,32-39	,18-24	,10-13	,137-179	,50-73	,37-49	
9169,25,Female,Asia,11,13,102,Medium,RPG,Medium,7,40,0,24-31	,7-11	,10-13	,94-136	,1-25	,37-49	
9170,30,Female,Europe,2,5,144,Medium,Sports,Easy,79,13,0,24-31	,1-6	,5-9	,137-179	,74-99	,12-23	
9171,47,Male,USA,12,15,67,Medium,Strategy,Medium,83,27,0,40-49	,12-17	,14-19	,52-93	,74-99	,24-36	
9172,23,Male,USA,19,9,105,Medium,Sports,Medium,56,39,1,15-23	,18-24	,5-9	,94-136	,50-73	,37-49	
9173,20,Male,USA,23,4,98,Medium,Simulation,Medium,67,26,0,15-23	,18-24	,0-4	,94-136	,50-73	,24-36	
9174,30,Male,USA,16,14,89,Medium,Sports,Medium,67,14,0,24-31	,12-17	,14-19	,52-93	,50-73	,12-23	
9175,43,Female,USA,21,3,80,Low,Strategy,Medium,5,41,0,40-49	,18-24	,0-4	,52-93	,1-25	,37-49	
9176,17,Female,Europe,18,6,24,Low,RPG,Easy,49,1,1,15-23	,18-24	,5-9	,10-51	,26-49	,0-11	
9177,34,Female,USA,5,16,31,Medium,Strategy,Easy,20,20,1,32-39	,1-6	,14-19	,10-51	,1-25	,12-23	
9178,33,Male,Other,24,19,105,High,Action,Hard,3,37,0,32-39	,18-24	,14-19	,94-136	,1-25	,37-49	
9179,40,Female,Europe,2,16,47,Medium,Action,Easy,61,7,0,40-49	,1-6	,14-19	,10-51	,50-73	,0-11	
9180,17,Male,Europe,7,18,20,Medium,Sports,Easy,23,19,0,15-23	,7-11	,14-19	,10-51	,1-25	,12-23	
9181,33,Female,Europe,19,6,149,Medium,Sports,Easy,16,17,0,32-39	,18-24	,5-9	,137-179	,1-25	,12-23	
9182,34,Male,Europe,4,13,50,Medium,Strategy,Easy,10,2,0,32-39	,1-6	,10-13	,10-51	,1-25	,0-11	
9183,46,Male,Europe,14,14,10,Low,Sports,Easy,64,39,0,40-49	,12-17	,14-19	,10-51	,50-73	,37-49	
9184,21,Male,Asia,16,9,116,Medium,Sports,Easy,62,3,0,15-23	,12-17	,5-9	,94-136	,50-73	,0-11	
9185,47,Male,Asia,17,15,152,High,Sports,Easy,36,5,0,40-49	,12-17	,14-19	,137-179	,26-49	,0-11	
9186,32,Female,Europe,4,14,128,High,RPG,Medium,79,24,0,32-39	,1-6	,14-19	,94-136	,74-99	,24-36	
9187,15,Female,Other,5,16,65,Medium,Action,Hard,74,23,1,15-23	,1-6	,14-19	,52-93	,74-99	,12-23	
9188,25,Female,Europe,3,1,71,Low,RPG,Easy,49,48,0,24-31	,1-6	,0-4	,52-93	,26-49	,37-49	
9189,42,Male,USA,5,12,90,Medium,Strategy,Easy,67,35,0,40-49	,1-6	,10-13	,52-93	,50-73	,24-36	
9190,39,Male,USA,20,16,151,High,Simulation,Medium,64,36,0,32-39	,18-24	,14-19	,137-179	,50-73	,24-36	
9191,37,Female,USA,3,4,121,Medium,Action,Easy,14,11,0,32-39	,1-6	,0-4	,94-136	,1-25	,0-11	
9192,45,Female,Other,10,5,48,Low,Strategy,Easy,84,15,1,40-49	,7-11	,5-9	,10-51	,74-99	,12-23	
9193,44,Male,USA,1,19,55,Medium,Sports,Easy,29,30,1,40-49	,1-6	,14-19	,52-93	,26-49	,24-36	
9194,49,Female,USA,19,9,45,Medium,Simulation,Hard,68,49,0,40-49	,18-24	,5-9	,10-51	,50-73	,37-49	
9195,21,Female,Asia,23,10,111,Medium,Simulation,Medium,52,23,0,15-23	,18-24	,10-13	,94-136	,50-73	,12-23	
9196,30,Female,USA,8,2,12,Low,Simulation,Easy,62,40,1,24-31	,7-11	,0-4	,10-51	,50-73	,37-49	
9197,40,Male,USA,8,6,36,Low,RPG,Hard,39,24,1,40-49	,7-11	,5-9	,10-51	,26-49	,24-36	
9198,16,Female,Asia,14,14,102,High,Strategy,Easy,54,44,1,15-23	,12-17	,14-19	,94-136	,50-73	,37-49	
9199,15,Male,Europe,4,3,57,Low,RPG,Medium,50,14,0,15-23	,1-6	,0-4	,52-93	,50-73	,12-23	
9200,26,Female,Europe,15,5,175,Medium,RPG,Hard,75,7,0,24-31	,12-17	,5-9	,137-179	,74-99	,0-11	
9201,19,Male,USA,14,13,14,High,Action,Easy,71,48,0,15-23	,12-17	,10-13	,10-51	,50-73	,37-49	
9202,46,Female,Europe,10,16,84,Medium,RPG,Easy,26,29,0,40-49	,7-11	,14-19	,52-93	,26-49	,24-36	
9203,23,Female,Asia,17,5,88,Medium,Sports,Medium,55,39,0,15-23	,12-17	,5-9	,52-93	,50-73	,37-49	
9204,49,Male,Asia,14,14,159,High,Simulation,Easy,45,28,0,40-49	,12-17	,14-19	,137-179	,26-49	,24-36	
9205,33,Female,Europe,21,12,125,High,Strategy,Easy,54,26,0,32-39	,18-24	,10-13	,94-136	,50-73	,24-36	
9206,30,Male,USA,18,1,74,Low,RPG,Easy,26,15,0,24-31	,18-24	,0-4	,52-93	,26-49	,12-23	
9207,17,Male,Asia,14,10,103,Medium,Strategy,Easy,94,8,0,15-23	,12-17	,10-13	,94-136	,74-99	,0-11	
9208,34,Male,Europe,8,3,33,Low,Action,Easy,10,35,0,32-39	,7-11	,0-4	,10-51	,1-25	,24-36	
9209,38,Male,Asia,1,7,60,Medium,Simulation,Medium,44,1,1,32-39	,1-6	,5-9	,52-93	,26-49	,0-11	
